"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-01,""177"",""1"",""5"",""13:50:36"",""13:53:29"",""173"""
"2023-06-01,""178"",""1"",""4"",""13:53:13"",""13:54:56"",""103"""
"2023-06-01,""179"",""1"",""4"",""13:54:50"",""13:55:49"",""59"""
"2023-06-01,""180"",""1"",""5"",""13:56:04"",""13:57:16"",""72"""
"2023-06-01,""181"",""1"",""4"",""13:57:26"",""13:58:02"",""36"""
"2023-06-01,""182"",""1"",""4"",""13:59:29"",""14:00:33"",""64"""
"2023-06-01,""183"",""1"",""4"",""14:00:53"",""14:01:15"",""22"""
"2023-06-01,""184"",""1"",""5"",""14:02:52"",""14:03:22"",""30"""
"2023-06-01,""185"",""1"",""4"",""14:03:07"",""14:05:42"",""155"""
"2023-06-01,""186"",""1"",""5"",""14:03:58"",""14:10:41"",""403"""
"2023-06-01,""187"",""1"",""4"",""14:12:55"",""14:13:08"",""13"""
"2023-06-01,""188"",""1"",""4"",""14:13:16"",""14:13:54"",""38"""
"2023-06-01,""189"",""1"",""4"",""14:14:15"",""14:15:02"",""47"""
"2023-06-01,""190"",""1"",""5"",""14:16:58"",""14:17:15"",""17"""
"2023-06-01,""191"",""1"",""5"",""14:20:16"",""14:20:40"",""24"""
"2023-06-01,""192"",""1"",""5"",""14:22:42"",""14:23:38"",""56"""
"2023-06-01,""193"",""1"",""5"",""14:23:25"",""14:24:35"",""70"""
"2023-06-01,""194"",""1"",""4"",""14:25:32"",""14:26:12"",""40"""
"2023-06-01,""195"",""1"",""4"",""14:26:37"",""14:27:25"",""48"""
"2023-06-01,""196"",""1"",""3"",""14:27:16"",""14:27:40"",""24"""
"2023-06-01,""197"",""1"",""4"",""14:30:30"",""14:30:39"",""9"""
"2023-06-01,""198"",""1"",""5"",""14:30:46"",""14:33:12"",""146"""
"2023-06-01,""199"",""1"",""4"",""14:32:23"",""14:33:35"",""72"""
"2023-06-01,""200"",""1"",""4"",""14:34:05"",""14:34:18"",""13"""
"2023-06-01,""201"",""1"",""4"",""14:34:35"",""14:35:14"",""39"""
"2023-06-01,""202"",""1"",""5"",""14:35:12"",""14:36:03"",""51"""
"2023-06-01,""203"",""1"",""4"",""14:36:47"",""14:39:19"",""152"""
"2023-06-01,""204"",""1"",""3"",""14:37:15"",""14:40:21"",""186"""
"2023-06-01,""205"",""1"",""3"",""14:38:36"",""14:41:31"",""175"""
"2023-06-01,""206"",""1"",""5"",""14:39:21"",""14:42:20"",""179"""
"2023-06-01,""207"",""1"",""5"",""14:39:54"",""14:43:06"",""192"""
"2023-06-01,""208"",""1"",""4"",""14:40:04"",""14:43:59"",""235"""
"2023-06-01,""209"",""1"",""5"",""14:43:16"",""14:45:16"",""120"""
"2023-06-01,""210"",""1"",""3"",""14:43:33"",""14:45:18"",""105"""
"2023-06-01,""211"",""1"",""3"",""14:46:27"",""14:48:39"",""132"""
"2023-06-01,""212"",""1"",""4"",""14:51:05"",""14:51:26"",""21"""
